game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,passing_drops,passing_drop_pct,receiving_drop,receiving_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,def_times_blitzed,def_times_hurried,def_times_hitqb
2024_01_BAL_KC,202409050kan,2024,1,REG,KC,BAL,Patrick Mahomes,MahoPa00,2,0.074,,,2,0.074,2,4,5,4,11,0.367,,,
2024_01_BAL_KC,202409050kan,2024,1,REG,BAL,KC,Lamar Jackson,JackLa00,0,0,,,11,0.275,1,13,10,1,12,0.235,,,
2024_01_GB_PHI,202409060phi,2024,1,REG,PHI,GB,Jalen Hurts,HurtJa00,0,0,,,5,0.172,2,7,4,3,9,0.231,,,
2024_01_GB_PHI,202409060phi,2024,1,REG,GB,PHI,Jordan Love,LoveJo03,4,0.129,,,6,0.194,1,10,2,3,6,0.171,,,
2024_01_GB_PHI,202409060phi,2024,1,REG,GB,PHI,Malik Willis,WillMa12,0,0,,,1,1,1,0,1,0,2,1,,,
2024_01_PIT_ATL,202409080atl,2024,1,REG,ATL,PIT,Kirk Cousins,CousKi00,0,0,,,4,0.174,2,3,2,5,9,0.321,,,
2024_01_PIT_ATL,202409080atl,2024,1,REG,PIT,ATL,Justin Fields,FielJu00,0,0,,,4,0.182,2,4,1,1,4,0.138,,,
2024_01_ARI_BUF,202409080buf,2024,1,REG,BUF,ARI,Josh Allen,AlleJo02,0,0,,,3,0.13,2,7,1,1,4,0.138,,,
2024_01_ARI_BUF,202409080buf,2024,1,REG,ARI,BUF,Kyler Murray,MurrKy00,4,0.129,,,3,0.097,4,9,4,2,10,0.263,,,
2024_01_TEN_CHI,202409080chi,2024,1,REG,CHI,TEN,Caleb Williams,WillCa03,1,0.037,,,9,0.333,2,9,4,3,9,0.273,,,
2024_01_TEN_CHI,202409080chi,2024,1,REG,TEN,CHI,Will Levis,LeviWi00,2,0.069,,,8,0.276,3,5,7,7,17,0.447,,,
2024_01_NE_CIN,202409080cin,2024,1,REG,CIN,NE,Joe Burrow,BurrJo01,1,0.034,,,4,0.138,3,7,0,0,3,0.086,,,
2024_01_NE_CIN,202409080cin,2024,1,REG,NE,CIN,Jacoby Brissett,BrisJa00,0,0,,,6,0.261,1,5,1,6,8,0.276,,,
2024_01_HOU_IND,202409080clt,2024,1,REG,IND,HOU,Anthony Richardson,RichAn03,0,0,,,5,0.263,2,2,2,0,4,0.167,,,
2024_01_HOU_IND,202409080clt,2024,1,REG,HOU,IND,C.J. Stroud,StroCJ00,1,0.032,,,5,0.161,4,9,5,4,13,0.342,,,
2024_01_JAX_MIA,202409080mia,2024,1,REG,MIA,JAX,Tua Tagovailoa,TagoTu00,1,0.028,,,7,0.194,3,11,2,1,6,0.146,,,
2024_01_JAX_MIA,202409080mia,2024,1,REG,JAX,MIA,Trevor Lawrence,LawrTr00,0,0,,,7,0.35,3,10,1,1,5,0.2,,,
2024_01_CAR_NO,202409080nor,2024,1,REG,NO,CAR,Derek Carr,CarrDe02,0,0,,,2,0.087,1,8,1,0,2,0.08,,,
2024_01_CAR_NO,202409080nor,2024,1,REG,NO,CAR,Jake Haener,HaenJa00,0,0,,,0,0,0,1,0,0,0,0,,,
2024_01_CAR_NO,202409080nor,2024,1,REG,CAR,NO,Bryce Young,YounBr01,1,0.037,,,11,0.407,4,13,6,2,12,0.316,,,
2024_01_CAR_NO,202409080nor,2024,1,REG,CAR,NO,Andy Dalton,DaltAn00,0,0,,,0,0,0,1,0,0,0,0,,,
2024_01_MIN_NYG,202409080nyg,2024,1,REG,NYG,MIN,Daniel Jones,JoneDa05,5,0.132,,,5,0.132,5,12,7,7,19,0.388,,,
2024_01_MIN_NYG,202409080nyg,2024,1,REG,MIN,NYG,Sam Darnold,DarnSa00,0,0,,,2,0.083,1,5,3,1,5,0.192,,,
2024_01_LV_LAC,202409080sdg,2024,1,REG,LAC,LV,Justin Herbert,HerbJu00,3,0.115,,,4,0.154,1,12,0,4,5,0.179,,,
2024_01_LV_LAC,202409080sdg,2024,1,REG,LV,LAC,Gardner Minshew II,MinsGa00,0,0,,,3,0.094,4,10,1,2,7,0.175,,,
2024_01_DEN_SEA,202409080sea,2024,1,REG,SEA,DEN,Geno Smith,SmitGe00,0,0,,,7,0.28,2,10,3,5,10,0.357,,,
2024_01_DEN_SEA,202409080sea,2024,1,REG,DEN,SEA,Bo Nix,NixxBo00,2,0.048,,,9,0.214,2,10,4,7,13,0.265,,,
2024_01_DAL_CLE,202409080cle,2024,1,REG,CLE,DAL,Deshaun Watson,WatsDe00,5,0.116,,,10,0.233,6,12,7,12,25,0.446,,,
2024_01_DAL_CLE,202409080cle,2024,1,REG,DAL,CLE,Dak Prescott,PresDa01,2,0.063,,,5,0.156,3,9,4,2,9,0.257,,,
2024_01_WAS_TB,202409080tam,2024,1,REG,TB,WAS,Baker Mayfield,MayfBa00,1,0.033,,,3,0.1,1,14,5,3,9,0.265,,,
2024_01_WAS_TB,202409080tam,2024,1,REG,WAS,TB,Jayden Daniels,DaniJa02,1,0.042,,,4,0.167,2,11,3,1,6,0.182,,,
2024_01_LA_DET,202409080det,2024,1,REG,DET,LA,Jared Goff,GoffJa00,3,0.107,,,4,0.143,2,4,0,3,5,0.161,,,
2024_01_LA_DET,202409080det,2024,1,REG,LA,DET,Matthew Stafford,StafMa00,4,0.083,,,6,0.125,2,14,5,9,16,0.314,,,
2024_01_NYJ_SF,202409090sfo,2024,1,REG,SF,NYJ,Brock Purdy,PurdBr00,1,0.034,,,5,0.172,2,7,3,1,6,0.188,,,
2024_01_NYJ_SF,202409090sfo,2024,1,REG,NYJ,SF,Aaron Rodgers,RodgAa00,2,0.095,,,4,0.19,1,2,1,2,4,0.182,,,
2024_01_NYJ_SF,202409090sfo,2024,1,REG,NYJ,SF,Tyrod Taylor,TaylTy00,0,0,,,1,0.125,0,1,1,1,2,0.222,,,
2024_02_BUF_MIA,202409120mia,2024,2,REG,MIA,BUF,Tua Tagovailoa,TagoTu00,0,0,,,7,0.28,1,0,0,1,2,0.071,,,
2024_02_BUF_MIA,202409120mia,2024,2,REG,MIA,BUF,Skylar Thompson,ThomSk00,1,0.071,,,4,0.286,1,1,0,2,3,0.188,,,
2024_02_BUF_MIA,202409120mia,2024,2,REG,BUF,MIA,Josh Allen,AlleJo02,0,0,,,3,0.158,0,4,2,0,2,0.1,,,
2024_02_LV_BAL,202409150rav,2024,2,REG,BAL,LV,Lamar Jackson,JackLa00,0,0,,,4,0.129,2,5,2,0,4,0.105,,,
2024_02_LV_BAL,202409150rav,2024,2,REG,LV,BAL,Gardner Minshew II,MinsGa00,1,0.028,,,3,0.083,5,10,3,4,12,0.279,,,
2024_02_LAC_CAR,202409150car,2024,2,REG,CAR,LAC,Bryce Young,YounBr01,0,0,,,4,0.154,2,6,0,0,2,0.069,,,
2024_02_LAC_CAR,202409150car,2024,2,REG,LAC,CAR,Justin Herbert,HerbJu00,0,0,,,4,0.2,1,8,0,1,2,0.091,,,
2024_02_NO_DAL,202409150dal,2024,2,REG,DAL,NO,Dak Prescott,PresDa01,0,0,,,5,0.132,3,6,7,0,10,0.233,,,
2024_02_NO_DAL,202409150dal,2024,2,REG,DAL,NO,Cooper Rush,RushCo00,0,0,,,0,0,0,0,0,0,0,0,,,
2024_02_NO_DAL,202409150dal,2024,2,REG,NO,DAL,Derek Carr,CarrDe02,1,0.067,,,1,0.067,1,7,7,1,9,0.529,,,
2024_02_TB_DET,202409150det,2024,2,REG,DET,TB,Jared Goff,GoffJa00,0,0,,,11,0.212,0,12,3,10,13,0.228,,,
2024_02_TB_DET,202409150det,2024,2,REG,DET,TB,Jack Fox,FoxxJa01,0,0,,,0,0,0,0,0,0,0,0,,,
2024_02_TB_DET,202409150det,2024,2,REG,TB,DET,Baker Mayfield,MayfBa00,1,0.053,,,3,0.158,5,11,3,0,8,0.286,,,
2024_02_IND_GB,202409150gnb,2024,2,REG,GB,IND,Malik Willis,WillMa12,0,0,,,1,0.071,0,6,1,0,1,0.063,,,
2024_02_IND_GB,202409150gnb,2024,2,REG,IND,GB,Anthony Richardson,RichAn03,1,0.031,,,8,0.25,1,4,4,2,7,0.189,,,
2024_02_CLE_JAX,202409150jax,2024,2,REG,JAX,CLE,Trevor Lawrence,LawrTr00,4,0.143,,,6,0.214,4,9,1,4,9,0.25,,,
2024_02_CLE_JAX,202409150jax,2024,2,REG,CLE,JAX,Deshaun Watson,WatsDe00,5,0.147,,,3,0.088,2,9,4,6,12,0.316,,,
2024_02_SF_MIN,202409150min,2024,2,REG,MIN,SF,Sam Darnold,DarnSa00,0,0,,,3,0.125,3,3,3,2,8,0.258,,,
2024_02_SF_MIN,202409150min,2024,2,REG,SF,MIN,Brock Purdy,PurdBr00,0,0,,,4,0.111,6,21,7,3,16,0.364,,,
2024_02_SEA_NE,202409150nwe,2024,2,REG,NE,SEA,Jacoby Brissett,BrisJa00,2,0.083,,,5,0.208,3,7,7,4,14,0.438,,,
2024_02_SEA_NE,202409150nwe,2024,2,REG,SEA,NE,Geno Smith,SmitGe00,4,0.093,,,2,0.047,3,15,5,3,11,0.229,,,
2024_02_NYJ_TEN,202409150oti,2024,2,REG,TEN,NYJ,Will Levis,LeviWi00,1,0.037,,,3,0.111,4,4,0,2,6,0.171,,,
2024_02_NYJ_TEN,202409150oti,2024,2,REG,NYJ,TEN,Aaron Rodgers,RodgAa00,3,0.103,,,7,0.241,2,8,1,1,4,0.121,,,
2024_02_NYG_WAS,202409150was,2024,2,REG,WAS,NYG,Jayden Daniels,DaniJa02,0,0,,,3,0.103,5,12,3,2,10,0.263,,,
2024_02_NYG_WAS,202409150was,2024,2,REG,NYG,WAS,Daniel Jones,JoneDa05,1,0.037,,,6,0.222,1,7,2,3,6,0.2,,,
